,id,name,address,zip_code,latitude,longitude,rating,review_count,cuisine
4197,AuCRCB64bsBMdq02ydEuCA,Manhattan Indian Flavor,"311 2nd Ave, New York, NY 10003",10003,40.73504,-73.98321,4.0,19,indian
4198,8Nva_eS_FxPOqVuUOvqz_Q,Indian Summer Harlem,"239 Lenox Ave, New York, NY 10027",10027,40.805898,-73.947324,4.5,155,indian
4199,zBf-m72ATTPTey-_9vu3Yw,Peacefood Cafe,"460 Amsterdam Ave, New York, NY 10024",10024,40.785326,-73.97713,4.0,1429,indian
4200,so3ReIE_QdVjeCsRhCCLLg,Kolkata Chai Cafe,"199 E 3rd St, New York, NY 10009",10009,40.72291487086537,-73.98321706640796,4.0,93,indian
4201,KhzQ-9jzOLOtrKXSxoC-uw,Bombay Grill,"155 8th Ave, New York, NY 10011",10011,40.74218,-74.001106,5.0,1,indian
4202,hfCU-GH8GP6vjAknXUyhKQ,Cardamom Indian cuisine,"43-45 43rd St Queens Blvd, Sunnyside, NY 11104",11104,40.74384695079039,-73.921224,4.5,237,indian
4203,ATrDmKiZ-YrAcG3hR7LLgg,Tadka Fine Indian Cuisine,"1297 Paterson Plank Rd, Secaucus, NJ 07094",07094,40.79015,-74.05819,3.5,130,indian
4204,gJSX5IDyhjeMjz9IS2DIwQ,Veggie Heaven,"473 Cedar Ln, Teaneck, NJ 07666",07666,40.889845,-74.023091,4.5,555,indian
4205,h0Z2RZBZbiqS-Yw22WyTaQ,Maharaja Palace,"2113 Frederick Douglass Blvd, New York, NY 10026",10026,40.8033065717907,-73.9562846158103,3.5,182,indian
4206,aFhnb8k6H-wD070vvxt4Fw,Kababish,"70-64 Broadway, Jackson Heights, NY 11372",11372,40.747598,-73.893979,3.5,206,indian
4207,U7QMrNTwRrPJ__0jbb6EYQ,Dosa Delight,"3566 73rd St, Jackson Heights, NY 11372",11372,40.7495245,-73.8929686,4.0,511,indian
4208,1_AQYSCRFn3KCsZ50m5ymQ,Manhattan Halal Restaurant,"156 W 29th St, New York, NY 10001",10001,40.7473849,-73.9923965,4.0,2,indian
4209,eTe0fY7PUIKuxgSdxgkD_A,Silli Point Indian Fusion,"629 Palisade Ave, Cliffside Park, NJ 07010",07010,40.82439932623717,-73.98454408544258,4.0,336,indian
4210,8Bgscm9qOB6t9_1-n_BVWg,chefs kitchen,"109 Locust Ave, Wallington, NJ 07057",07057,40.85357,-74.11091,4.5,22,indian
4211,L3PwWn54PvHm5Rd4oUg7xw,B&D Halal Food,"263 W 30 Th St, New York, NY 10001",10001,40.7469663,-73.992167,4.5,92,indian
4212,B_lY4rXX67iYSBPMQO9ItQ,Mamak's Corner,"140 W 51st St, New York, NY 10020",10020,40.761086292587144,-73.98168381303549,4.0,3,indian
4213,ik7LcD1fkzVbVQ6Sntd4LA,Indian Spice,"351 7th Ave, Brooklyn, NY 11215",11215,40.6660303077582,-73.9819402992725,4.0,173,indian
4214,qL5SIZRFDfNO-L_HLeuvPQ,Curry In Handi,"443 Bushwick Ave, Brooklyn, NY 11206",11206,40.7023348786146,-73.9369236,4.5,15,indian
4215,aaVV388ojMgIayC3cVIEVg,Mausam Indian Curry N Bites,"76 Market St, Clifton, NJ 07012",07012,40.84595,-74.16121,4.5,258,indian
4216,TXjvmpAl7otZcuk_7hYZ2g,Tandoori Place,"2146 Starling Ave, Bronx, NY 10462",10462,40.83597304468253,-73.8536453,4.5,80,indian
4217,HM7Mz6Hpxts58JJP7qELNQ,Eggmania,"14 Liberty Ave, Jersey City, NJ 07306",07306,40.7360784317498,-74.0648451989719,4.0,328,indian
4218,GoABwVqFoFiXL_sxNtzVQw,Le Botaniste,"156 Columbus Ave, New York, NY 10023",10023,40.774122,-73.9814425,4.0,61,indian
4219,Bft47FX6dorGwlUypMrG2w,Merit Kabab Palace,"37-67 74th St, Jackson Heights, NY 11372",11372,40.74711,-73.8912299,4.0,121,indian
4220,BNdEbtO1rjCulgqK3zDnyQ,Flavors of India,"44-27 Kissena Blvd, Flushing, NY 11355",11355,40.7534816,-73.8220844,3.5,191,indian
4221,IbB_7AxWQtDFW1iKnoD1Ug,BK JANI,"679 Grand St, Brooklyn, NY 11211",11211,40.71165,-73.94529,4.0,410,indian
4222,Jk6AzMaM8pjqCszDg1V2fA,Bombay Grill and Curry,"1015 Manhattan Ave, Brooklyn, NY 11222",11222,40.73359,-73.954991,5.0,8,indian
4223,kB3QyyhHFVyhGgp35Rnuew,The Kati Roll,"99 Macdougal St, New York, NY 10012",10012,40.729633,-74.001038,3.5,923,indian
4224,hmNxdAbt0tiGm8_vPdXCSA,Afghan Kebab House II,"1345 2nd Ave, New York, NY 10021",10021,40.768066,-73.959243,4.0,223,indian
4225,SB4t6vWpxlVQAfCQ3oC1BQ,Curry Heights,"151 Remsen St, Brooklyn, NY 11201",11201,40.693685,-73.992154,3.5,288,indian
4227,bgKGT3osx4KNjrdva4lYpQ,Aroma Progressive Indian Cuisine,"6340 Woodhaven Blvd, Rego Park, NY 11374",11374,40.723375,-73.868668,4.0,186,indian
4228,mc9lvusD4Na-KXT2z4ulzQ,Dosa Hutt,"45-63 Bowne St, Flushing, NY 11355",11355,40.752519194455466,-73.81675793707946,4.5,237,indian
4229,CpsnurlPqkUBWwqO69xS7A,Punjab On Third,"220 3rd Ave, New York, NY 10003",10003,40.73637,-73.98526,3.0,7,indian
4230,0_ONgLkWOmGnjhCecpZPYQ,Samossa Bites,"35-27 31st St, Astoria, NY 11106",11106,40.757283,-73.928761,4.0,101,indian
4231,j0Q-yyxS2WiL3foCJEV4eg,Dirt Candy,"86 Allen St, New York, NY 10002",10002,40.7179075,-73.9907183,4.0,781,indian
4232,3N3XesISm5tg_nsjL10eFA,Chapati House,"3153 Broadway, New York, NY 10027",10027,40.814613,-73.95959,4.0,233,indian
4233,qTJvCBgticMA-opC6P6yzg,Rang,"11-03 44th Ave, Queens, NY 11101",11101,40.7500749267213,-73.94893907411615,4.5,7,indian
4234,VSPkVw9gSQx-5v4A6aC_YA,Manousheh - Bleecker,"193 Bleecker St, New York, NY 10012",10012,40.729511,-74.001275,4.5,504,indian
4235,gc5VOvoqzM8UQJwV1mhdkA,Taj Kabab King,"568 Grand St, Brooklyn, NY 11211",11211,40.710938,-73.9491,3.5,325,indian
4236,0Z6VTfFsesUSrN5kkVJ5Zw,Flames Indian Aroma,"165 East 106th St, New York, NY 10029",10029,40.79197,-73.94522,4.0,16,indian
4237,-MvQAFnBC_G6eHwFT8aOVw,Honest,"60 Main Ave, Clifton, NJ 07014",07014,40.8295781,-74.1438155,4.0,28,indian
4238,KJNXC2NtxRPeu_nkk1PC4A,Punda Tibetan Restaurant,"3935 47th Ave, Sunnyside, NY 11104",11104,40.74209,-73.92516,4.0,77,indian
4239,lcI9kOcRqxxMhM4b5pHqsg,Dawa's,"51-18 Skillman Ave, Woodside, NY 11377",11377,40.7456869,-73.9126859,4.5,291,indian
4240,G4Y3yF4UfcCNSj0JFQQVDw,A Saffron Thread Fresh Indian,"98 Chambers St, New York, NY 10007",10007,40.71461,-74.00774,3.5,122,indian
4241,O5MN8tijDGzJS8uin9zQ2Q,Chef Of India,"324 Central Ave, Jersey City, NJ 07307",07307,40.74595,-74.04902,3.5,245,indian
4242,c76v7CGWWjWj__18Mv2j5w,Ayna Agra Indian Restaurant,"213-35 39th Ave, Bayside, NY 11361",11361,40.7655067,-73.7716797,4.0,458,indian
4243,HGNqWrRYJNyhJSS8yia8HQ,Ruchi,"120 Cedar St, New York, NY 10006",10006,40.709532,-74.012702,3.5,387,indian
4244,T7pKLcv4lr4zysS4uXbEjA,Achar,"1365 1st Ave, New York, NY 10021",10021,40.76882440000003,-73.95556522009724,3.5,9,indian
4245,Pv51B3SzP4OqUbJncEeF1g,Masala Grill,"501B Atlantic Ave, Brooklyn, NY 11217",11217,40.68568,-73.98116,3.5,238,indian
4246,zDiKwE9LPwWo9k2kdwMEZw,Saffron Indian Cuisine,"4404 Broadway, Astoria, NY 11103",11103,40.757176,-73.915762,3.5,284,indian
4247,4x4M_p_b8GvLkc4fe00GHA,Biryani House Cart,"140 Broadway, New York, NY 10005",10005,40.70865,-74.01011,4.0,167,indian
4248,zGa3GrjdAQLm2l40SPD8CA,Garam Masala,"1819 Palmetto St, Ridgewood, NY 11385",11385,40.703375,-73.90747,4.0,99,indian
4249,b1_E7HffjgCEMGetIDn1uw,Bombay Curry Co.,"48 W 27th St, New York, NY 10001",10001,40.744952,-73.990392,5.0,1,indian
4252,Qz5E5sPtETWD3kwEUsBZpw,Kabul Kabab House,"42-51 Main St, Flushing, NY 11355",11355,40.753857,-73.827635,4.0,535,indian
4253,O6UPwu3bb4cvucni_d5ocA,Bombay Masala Indian Dining,"7205 3rd Ave, Brooklyn, NY 11209",11209,40.633334,-74.026852,4.0,23,indian
4254,vksCRTDJO6ZrM_JFRxnG9w,Desi Junction,"688 10th Ave, New York, NY 10019",10019,40.763465,-73.992317,3.5,4,indian
4255,RZQDDJBb7X417wcobUyv0g,London Tandoori,"524 Metropolitan Ave, Brooklyn, NY 11211",11211,40.713843,-73.951128,3.5,33,indian
4256,V3LxcyGfHInU_7F5dnOfVw,Nefista Vegan Kofteh,"656 Anderson Ave, Cliffside Park, NJ 07010",07010,40.826537,-73.987058,4.5,95,indian
4257,dJmC6GmMgX3VLSdaLhcJdg,Tandoor Restaurant,"9524 Queens Blvd, Rego Park, NY 11374",11374,40.730351,-73.863868,3.5,227,indian
4258,sQ_L8O9WMU4apxSTVa9JKg,Agra Taj Mahal,"1005 Manhattan Ave, Brooklyn, NY 11222",11222,40.7332729,-73.9550299,3.5,158,indian
4259,oOz--_ORMzLSee92b_ksaQ,Masala Box,"4202 Bell Blvd, Bayside, NY 11361",11361,40.76245,-73.77073,4.0,284,indian
4260,Na55QhymZh3cje8Ac2vCvg,Nimbooda,"664 Washington Ave, Brooklyn, NY 11238",11238,40.67825,-73.96419,4.0,182,indian
4261,CN-ZjeSCht_lOcEsuVSfgA,Raaz,"537 Washington Blvd, Jersey City, NJ 07310",07310,40.727503,-74.034882,3.5,250,indian
4262,1gK-0_lGqjxbwiHWcXXdzg,ABCV,"38 E 19th St, New York, NY 10003",10003,40.738058,-73.989289,4.0,643,indian
4263,Ep_4L21-xzvkh75YIkaYgQ,Badshah To-Go,"80 Nassau St, New York, NY 10038",10038,40.70983,-74.0079322,4.0,18,indian
4264,x-T3WaLPnbVrxc-ruzFhyQ,Mughlai Indian Cuisine,"120 Cedar St, New York, NY 10006",10006,40.70953534633694,-74.01278923745791,4.5,6,indian
4265,k1XZsff99d2JyX_jLwCaAA,Taj Mahal Indian Restaurant,"7315 3rd Ave, Brooklyn, NY 11209",11209,40.63239283761084,-74.0271556377411,4.0,391,indian
4267,1PUcqJywIblaVBH_leywTA,Inday,"One New York Plz, New York, NY 10004",10004,40.70209426705473,-74.01188010306561,4.0,6,indian
4269,iKmkvUxijMno9LExbNRrAw,Forest Hills Indian Cuisine,"7151 Yellowstone Blvd, Forest Hills, NY 11375",11375,40.7212239,-73.8549107,4.0,63,indian
4270,hnODPHQIO14uVWIa3cztyA,Raj's Indian Kitchen,"53 Nassau St, New York, NY 10038",10038,40.7090336335426,-74.00914125144482,4.0,15,indian
4271,P5mFtOSiQmplOj0yVP13PQ,Rasoi Restaurant,"810 Newark Ave, Jersey City, NJ 07306",07306,40.73587,-74.06535,3.5,465,indian
4272,AmsFqdP6BULcAGYEn1EFZg,Urban Tandoor,"206 Harrison Ave, Harrison, NJ 07029",07029,40.746238,-74.159862,4.0,134,indian
4273,LC5qKRk3zy7f1eTONkSd3A,Dhania Fine Indian Cuisine,"787 Prospect Pl, Brooklyn, NY 11216",11216,40.674467,-73.950531,4.5,38,indian
4274,TTwPVEHeSeyFMLF6cik8Lw,Raj Mahal,"322 E 6th St, Ste 1, New York, NY 10003",10003,40.72684,-73.98746,3.0,218,indian
4275,ugYhnKrr3Q1TVV15R0EEWQ,AnTalia NYC,"17 W 45th St, New York, NY 10036",10036,40.755991,-73.980313,4.0,457,indian
